ID     IAUNAME     M2    Teffwd
2702     SDSSJ093803.38+590136.2     0.149    10670
2704     SDSSJ093954.62+075900.5     0.319    10670
2817     SDSSJ111310.44+341913.4     0.255    10670
2876     SDSSJ121410.21+333049.8     0.255    10670
2571     SDSSJ081348.22+152940.2     0.132    10733
549     SDSSJ091513.42+313713.0     0.38    10793
957     SDSSJ122634.97+322020.8     0.319    10793
1132     SDSSJ143017.22-024034.1     0.255    10793
1259     SDSSJ155332.86+045735.1     0.38    10793
1368     SDSSJ170127.36+253302.6     0.38    10793
1498     SDSSJ222634.55-004144.9     0.319    10793
2082     SDSSJ085223.75+071326.0     0.319    10793
2492     SDSSJ073612.41+472930.9     0.12    10793
2621     SDSSJ083829.60+572645.9     0.319    10793
2804     SDSSJ110436.59-013924.6     0.149    10793
2926     SDSSJ132304.76+462659.5     0.255    10793
2948     SDSSJ134528.53+073209.0     0.255    10793
3010     SDSSJ143826.44+013417.3     0.149    10793
3046     SDSSJ150934.85-011542.6     0.12    10793
3266     SDSSJ234015.42+324731.9     0.149    10793
137     SDSSJ020351.28+004025.1     0.38    10794
10     SDSSJ001733.59+004030.4     0.319    10918
168     SDSSJ022125.36+001710.5     0.431    10918
607     SDSSJ093236.83+053026.6     0.464    10918
849     SDSSJ112149.99+285904.7     0.38    10918
2036     SDSSJ064212.72+381638.4     0.319    10918
2425     SDSSJ014938.51-010753.6     0.38    10918
2753     SDSSJ101456.17+194144.9     0.196    10918
2991     SDSSJ142203.39+125804.9     0.38    10918
3036     SDSSJ150234.39+372114.4     0.118    10918
3250     SDSSJ231640.19-010951.6     0.255    10918
3254     SDSSJ232447.96+113156.6     0.319    10918
770     SDSSJ104057.48+083421.6     0.255    10922
2822     SDSSJ112036.97+371730.9     0.149    10982
3189     SDSSJ220451.62+113230.7     0.179    11004
162     SDSSJ021827.56+004454.1     0.319    11045
283     SDSSJ072920.73+430410.1     0.255    11045
630     SDSSJ094002.40+534202.9     0.255    11045
704     SDSSJ101006.92+301211.3     0.255    11045
1718     SDSSJ093636.39+625606.2     0.255    11045
1752     SDSSJ111002.56+100637.1     0.255    11045
2264     SDSSJ081303.99+320442.0     0.12    11045
2398     SDSSJ012813.96+092627.4     0.255    11045
2459     SDSSJ024401.24+050202.0     0.255    11045
2477     SDSSJ072329.77+390908.4     0.255    11045
2620     SDSSJ083822.45+561955.0     0.255    11045
3226     SDSSJ225420.62+065114.6     0.149    11045
1761     SDSSJ113006.11-064715.9     0.255    11046
2021     SDSSJ030138.24+050218.9     0.319    11109
1071     SDSSJ134008.04+082248.4     0.38    11118
164     SDSSJ021855.27+011056.3     0.235    11140
161     SDSSJ021759.08+004517.6     0.319    11173
235     SDSSJ032038.72-063822.9     0.255    11173
446     SDSSJ083351.76+533006.1     0.255    11173
780     SDSSJ104358.59+060320.9     0.196    11173
1008     SDSSJ125519.73+025423.8     0.319    11173
1688     SDSSJ082909.17+135813.1     0.149    11173
1693     SDSSJ083420.71+091709.7     0.196    11173
1856     SDSSJ144253.26+633216.4     0.255    11173
1940     SDSSJ165240.74+134015.0     0.38    11173
2195     SDSSJ142631.93+091621.1     0.38    11173
